epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5888.76,1.73737,0.96534,1.2555,0.7625,0.69565,0.76311,0.34708,1.81395,0.96341,1.35097,0.00029705,0.00029705,0.00029705
43,6017.74,1.72412,0.96289,1.23618,0.75175,0.72413,0.77554,0.35439,1.80708,0.94791,1.33719,0.0002921,0.0002921,0.0002921
44,6147.45,1.7257,0.94081,1.2432,0.76286,0.69876,0.75957,0.35049,1.82255,0.96475,1.35072,0.00028715,0.00028715,0.00028715
45,6278.4,1.71986,0.93341,1.22378,0.76134,0.70911,0.77246,0.35072,1.81535,0.94823,1.3436,0.0002822,0.0002822,0.0002822
46,6407.47,1.7054,0.92719,1.20958,0.75794,0.7029,0.76261,0.34449,1.83223,0.95379,1.33798,0.00027725,0.00027725,0.00027725
47,6536.3,1.73823,0.93166,1.22581,0.79083,0.69669,0.76945,0.34754,1.84448,0.93917,1.36135,0.0002723,0.0002723,0.0002723
48,6664.03,1.70166,0.92581,1.22747,0.73519,0.71222,0.76938,0.35222,1.80566,0.95629,1.33682,0.00026735,0.00026735,0.00026735
49,6790.63,1.71229,0.94856,1.23024,0.75039,0.72199,0.78761,0.35275,1.83287,0.95256,1.3512,0.0002624,0.0002624,0.0002624
50,6917.07,1.70015,0.92161,1.2174,0.75083,0.71636,0.77112,0.35144,1.81415,0.93265,1.34712,0.00025745,0.00025745,0.00025745
51,7044.67,1.70601,0.93414,1.2312,0.7672,0.706,0.76425,0.34828,1.82589,0.94072,1.3598,0.0002525,0.0002525,0.0002525
52,7176.13,1.6803,0.91021,1.21761,0.77569,0.69669,0.76469,0.34793,1.84912,0.96054,1.36556,0.00024755,0.00024755,0.00024755
53,7297.58,1.66267,0.93134,1.22083,0.74768,0.68634,0.74561,0.34008,1.85352,0.97766,1.36944,0.0002426,0.0002426,0.0002426
54,7416.89,1.72297,0.91117,1.22155,0.73748,0.71843,0.75973,0.34274,1.85835,0.94982,1.37814,0.00023765,0.00023765,0.00023765
55,7534.97,1.67171,0.91579,1.21219,0.75806,0.71325,0.75528,0.34201,1.84227,0.95309,1.35612,0.0002327,0.0002327,0.0002327
56,7652.38,1.66895,0.89346,1.19698,0.76145,0.69876,0.76505,0.34375,1.84326,0.94741,1.35776,0.00022775,0.00022775,0.00022775
57,7770.95,1.63981,0.88086,1.18152,0.76585,0.71946,0.77089,0.34823,1.84876,0.9387,1.34589,0.0002228,0.0002228,0.0002228
58,7888.85,1.68432,0.90462,1.20542,0.76271,0.72153,0.76738,0.34781,1.83936,0.92976,1.35492,0.00021785,0.00021785,0.00021785
59,8006.19,1.66232,0.8889,1.20138,0.7673,0.71739,0.77936,0.34923,1.82612,0.9294,1.35325,0.0002129,0.0002129,0.0002129
60,8372.64,1.66473,0.89483,1.20857,0.76747,0.70911,0.76976,0.35046,1.83932,0.93169,1.36147,0.00020795,0.00020795,0.00020795
61,8609.38,1.6455,0.88068,1.20032,0.74773,0.72257,0.76865,0.3537,1.82435,0.93398,1.34306,0.000203,0.000203,0.000203
62,8727.46,1.63641,0.88128,1.18574,0.7615,0.72878,0.76875,0.34788,1.83015,0.9163,1.35873,0.00019805,0.00019805,0.00019805
63,8856.66,1.63905,0.86002,1.18334,0.76316,0.7236,0.76662,0.34276,1.85001,0.93129,1.36951,0.0001931,0.0001931,0.0001931
64,8989.81,1.66085,0.87964,1.19346,0.75833,0.706,0.75446,0.33818,1.86712,0.93927,1.36514,0.00018815,0.00018815,0.00018815
65,9118.91,1.63326,0.86661,1.18171,0.73848,0.72464,0.75205,0.33919,1.84964,0.94095,1.35604,0.0001832,0.0001832,0.0001832
66,9247.74,1.63597,0.87357,1.19048,0.74962,0.72525,0.76764,0.35021,1.83889,0.91724,1.35574,0.00017825,0.00017825,0.00017825
67,9376.9,1.56547,0.83637,1.18398,0.75005,0.73003,0.77237,0.35132,1.843,0.91951,1.36898,0.0001733,0.0001733,0.0001733
68,9507.11,1.5678,0.83841,1.17164,0.77188,0.71325,0.77628,0.34887,1.85197,0.92808,1.36971,0.00016835,0.00016835,0.00016835
69,9633.64,1.58208,0.83942,1.17403,0.7704,0.71555,0.76896,0.34899,1.85536,0.91953,1.36804,0.0001634,0.0001634,0.0001634
70,9760.2,1.59552,0.83308,1.17235,0.75865,0.7224,0.76854,0.3472,1.85451,0.91754,1.3702,0.00015845,0.00015845,0.00015845
71,9882.25,1.53568,0.82208,1.15958,0.7445,0.72671,0.76541,0.34581,1.85677,0.90742,1.37058,0.0001535,0.0001535,0.0001535
72,10005.6,1.56846,0.81365,1.16147,0.75254,0.73292,0.76265,0.34342,1.86082,0.91722,1.37015,0.00014855,0.00014855,0.00014855
73,10131.1,1.54265,0.81118,1.14859,0.74718,0.72671,0.75928,0.34069,1.86409,0.91919,1.37385,0.0001436,0.0001436,0.0001436
