epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2797.7,1.04484,0.53769,1.01256,0.92174,0.84402,0.91053,0.60489,1.05858,0.50834,1.0574,0.00019293,0.00019293,0.00019293
43,2864.24,1.03404,0.53087,1.00669,0.92496,0.85081,0.91663,0.61082,1.05097,0.49109,1.05133,0.00018843,0.00018843,0.00018843
44,2929.17,1.02817,0.52288,1.00351,0.92872,0.85323,0.91487,0.61023,1.06448,0.49458,1.05246,0.000183894,0.000183894,0.000183894
45,2995.25,1.02333,0.51784,1.00016,0.93224,0.85066,0.91271,0.60622,1.06601,0.49578,1.05456,0.000179326,0.000179326,0.000179326
46,3060.82,0.99959,0.5099,0.9942,0.92502,0.85961,0.91591,0.61301,1.04717,0.48996,1.05279,0.000174731,0.000174731,0.000174731
47,3126.92,1.00194,0.50615,0.99508,0.92992,0.86069,0.91967,0.61687,1.03244,0.48247,1.04461,0.000170112,0.000170112,0.000170112
48,3193.38,0.98193,0.49645,0.98796,0.93269,0.86347,0.92193,0.6213,1.02265,0.48336,1.03777,0.000165475,0.000165475,0.000165475
49,3259.36,0.99154,0.49844,0.98928,0.92753,0.86981,0.92375,0.62217,1.0279,0.47714,1.04076,0.000160824,0.000160824,0.000160824
50,3325.55,0.97456,0.48966,0.98334,0.93015,0.87135,0.92309,0.62177,1.03416,0.47202,1.0412,0.000156164,0.000156164,0.000156164
51,3391.16,0.96467,0.4858,0.97793,0.93761,0.85869,0.92274,0.62834,1.01005,0.47128,1.0303,0.0001515,0.0001515,0.0001515
52,3458.12,0.96044,0.47861,0.97624,0.9346,0.86919,0.92329,0.62576,1.02435,0.46458,1.03501,0.000146836,0.000146836,0.000146836
53,3524.06,0.9581,0.4751,0.97557,0.92838,0.87084,0.91794,0.62801,1.00275,0.47123,1.0295,0.000142176,0.000142176,0.000142176
54,3590.57,0.95274,0.47938,0.97331,0.92833,0.87876,0.92795,0.63135,1.00337,0.46248,1.03054,0.000137525,0.000137525,0.000137525
55,3656.13,0.93988,0.46946,0.97044,0.93958,0.8694,0.92358,0.63358,0.98624,0.45571,1.02331,0.000132888,0.000132888,0.000132888
56,3723.24,0.93228,0.46233,0.96532,0.9333,0.87985,0.92538,0.63507,0.98631,0.45066,1.02556,0.000128269,0.000128269,0.000128269
57,3788.47,0.90585,0.45364,0.95749,0.94005,0.87042,0.92525,0.63067,1.00408,0.46185,1.03043,0.000123674,0.000123674,0.000123674
58,3855.37,0.90323,0.45308,0.95715,0.93714,0.87494,0.92701,0.63681,0.98787,0.45819,1.0209,0.000119106,0.000119106,0.000119106
59,3920.67,0.90565,0.45638,0.95752,0.94023,0.87768,0.92987,0.63739,0.97935,0.44914,1.02266,0.00011457,0.00011457,0.00011457
60,3987.75,0.90281,0.45051,0.95129,0.93578,0.87707,0.92739,0.63831,0.98132,0.44631,1.02045,0.00011007,0.00011007,0.00011007
61,4053.05,0.88872,0.44284,0.94603,0.9426,0.87413,0.92664,0.63642,0.98388,0.45022,1.02397,0.000105611,0.000105611,0.000105611
62,4120.28,0.87876,0.44138,0.9473,0.94355,0.87258,0.92775,0.64062,0.96875,0.44762,1.02104,0.000101197,0.000101197,0.000101197
63,4186.1,0.86997,0.43985,0.94198,0.93334,0.87938,0.92803,0.64577,0.96038,0.44003,1.01982,9.68335e-05,9.68335e-05,9.68335e-05
64,4251.22,0.86546,0.43108,0.94002,0.94116,0.87203,0.92654,0.64658,0.95205,0.43822,1.01409,9.25235e-05,9.25235e-05,9.25235e-05
65,4318.12,0.8712,0.43559,0.94134,0.94348,0.87382,0.92757,0.6483,0.95477,0.43299,1.00964,8.82718e-05,8.82718e-05,8.82718e-05
66,4383.63,0.85709,0.43117,0.93722,0.94223,0.87753,0.92917,0.64705,0.95734,0.43939,1.0184,8.40824e-05,8.40824e-05,8.40824e-05
67,4450.31,0.85202,0.42751,0.9351,0.94229,0.88448,0.93041,0.65035,0.9531,0.43416,1.01326,7.99596e-05,7.99596e-05,7.99596e-05
68,4515.83,0.84228,0.42126,0.93231,0.94529,0.88046,0.93078,0.65066,0.94534,0.43068,1.00738,7.59073e-05,7.59073e-05,7.59073e-05
69,4582.68,0.83912,0.41773,0.93014,0.94203,0.8784,0.92912,0.65035,0.94291,0.42772,1.01066,7.19297e-05,7.19297e-05,7.19297e-05
70,4649.4,0.8357,0.4182,0.92952,0.93734,0.88256,0.93027,0.6531,0.94152,0.42777,1.0083,6.80306e-05,6.80306e-05,6.80306e-05
71,4715.76,0.83767,0.42057,0.93154,0.93938,0.8851,0.93046,0.65169,0.94159,0.42954,1.00821,6.42139e-05,6.42139e-05,6.42139e-05
72,4781.95,0.83036,0.41556,0.92676,0.94467,0.88076,0.9307,0.65474,0.93552,0.42371,1.00851,6.04833e-05,6.04833e-05,6.04833e-05
73,4849.27,0.82244,0.41387,0.92344,0.9464,0.88124,0.92988,0.652,0.94071,0.42549,1.0135,5.68425e-05,5.68425e-05,5.68425e-05
74,4915.75,0.8127,0.40684,0.92203,0.94696,0.88263,0.93244,0.6551,0.93467,0.42122,1.00975,5.32952e-05,5.32952e-05,5.32952e-05
75,4982.8,0.80924,0.40639,0.92026,0.94389,0.88232,0.93147,0.65704,0.92587,0.42091,1.00469,4.98448e-05,4.98448e-05,4.98448e-05
76,5049.14,0.80487,0.40307,0.92145,0.94836,0.87768,0.93096,0.6561,0.92899,0.42436,1.00644,4.64946e-05,4.64946e-05,4.64946e-05
77,5115.54,0.80486,0.40258,0.91933,0.9502,0.88201,0.93385,0.65758,0.924,0.42029,1.00764,4.32482e-05,4.32482e-05,4.32482e-05
78,5182.4,0.80439,0.40176,0.91742,0.94479,0.88273,0.93248,0.65889,0.91668,0.42193,1.00523,4.01085e-05,4.01085e-05,4.01085e-05
79,5248.97,0.7908,0.39772,0.91716,0.94962,0.88494,0.9333,0.66077,0.91225,0.4165,1.00673,3.70788e-05,3.70788e-05,3.70788e-05
80,5316.21,0.78919,0.39498,0.91426,0.94923,0.88062,0.93117,0.65859,0.91733,0.41976,1.0051,3.4162e-05,3.4162e-05,3.4162e-05
81,5381.62,0.78309,0.39491,0.914,0.9495,0.8857,0.93249,0.66145,0.91263,0.41619,1.00257,3.1361e-05,3.1361e-05,3.1361e-05
82,5449,0.78621,0.39489,0.91255,0.94941,0.88355,0.93227,0.6597,0.91755,0.4149,1.00272,2.86785e-05,2.86785e-05,2.86785e-05
83,5514.55,0.7768,0.39019,0.91107,0.95033,0.88646,0.93409,0.65922,0.92112,0.41431,1.00311,2.61173e-05,2.61173e-05,2.61173e-05
84,5581.81,0.77956,0.39241,0.91345,0.94829,0.88757,0.93356,0.66204,0.91436,0.41262,1.0049,2.36798e-05,2.36798e-05,2.36798e-05
85,5647.28,0.77786,0.39213,0.91087,0.94894,0.88687,0.93376,0.66133,0.91438,0.41142,1.00451,2.13685e-05,2.13685e-05,2.13685e-05
86,5714.29,0.7035,0.34095,0.88002,0.95068,0.88448,0.93338,0.66229,0.90847,0.41151,1.00489,1.91855e-05,1.91855e-05,1.91855e-05
87,5778.53,0.69819,0.33801,0.87857,0.94943,0.88525,0.93352,0.66379,0.90343,0.41266,1.00389,1.71332e-05,1.71332e-05,1.71332e-05
88,5842.64,0.69926,0.33829,0.87702,0.9514,0.88479,0.93347,0.66363,0.90293,0.4099,1.00114,1.52134e-05,1.52134e-05,1.52134e-05
